id,coinname,abbreviation,logo_url,api_id
1,Bitcoin,BTC,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,1
2,Ethereum,ETH,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,1027
3,Tether USDt,USDT,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,825
4,XRP,XRP,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,52
5,BNB,BNB,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,1839
6,Solana,SOL,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,5426
7,USDC,USDC,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,3408
8,Cardano,ADA,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,2010
9,Dogecoin,DOGE,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,74
10,TRON,TRX,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,1958
11,Pi,PI,https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,35697
12,UNUS SED LEO,LEO,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,3957
13,Hedera,HBAR,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,4642
14,Chainlink,LINK,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,1975
15,Stellar,XLM,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,512
16,Avalanche,AVAX,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,5805
17,Shiba Inu,SHIB,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,5994
18,Sui,SUI,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,20947
19,Litecoin,LTC,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,2
20,Bitcoin Cash,BCH,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,1831
21,Toncoin,TON,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,11419
22,MANTRA,OM,https://s2.coinmarketcap.com/static/img/coins/64x64/6536.png,6536
23,Polkadot,DOT,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,6636
24,Ethena USDe,USDe,https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,29470
25,Dai,DAI,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,4943
26,Bitget Token,BGB,https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,11092
27,Hyperliquid,HYPE,https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,32196
28,Monero,XMR,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,328
29,Uniswap,UNI,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,7083
30,Aptos,APT,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,21794
31,NEAR Protocol,NEAR,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,6535
32,Pepe,PEPE,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,24478
33,Ondo,ONDO,https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,21159
34,Ethereum Classic,ETC,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,1321
35,Internet Computer,ICP,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,8916
36,Aave,AAVE,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,7278
37,Mantle,MNT,https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png,27075
38,OKB,OKB,https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,3897
39,Bittensor,TAO,https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,22974
